Recent indicators for 600686.SH:
Date | MACD_Diff | MACD_Dea | MACD | W_MA20 | W_MACD | M_MA20 | M_MACD
2026-01-13 | 0.2067 | 0.5303 | 0.6337 | 14.73 | 1.3636 | 13.67 | 1.9775
2026-01-12 | 0.1777 | 0.5045 | 0.5933 | 14.42 | 1.2463 | 13.12 | 1.7293
2026-01-09 | 0.1548 | 0.4823 | 0.5597 | 14.42 | 1.2463 | 13.12 | 1.7293
2026-01-08 | 0.1829 | 0.4629 | 0.5544 | 14.16 | 1.1509 | 13.12 | 1.7293
2026-01-07 | 0.1197 | 0.4401 | 0.4999 | 14.16 | 1.1509 | 13.12 | 1.7293
2026-01-06 | 0.1201 | 0.4251 | 0.4852 | 14.16 | 1.1509 | 13.12 | 1.7293
2026-01-05 | 0.0659 | 0.4101 | 0.4430 | 14.16 | 1.1509 | 13.12 | 1.7293
2025-12-31 | 0.0983 | 0.4019 | 0.4510 | 14.16 | 1.1509 | 13.12 | 1.7293
2025-12-30 | 0.0222 | 0.3896 | 0.4007 | 13.89 | 1.0326 | 12.62 | 1.4801
2025-12-29 | -0.0106 | 0.3868 | 0.3815 | 13.89 | 1.0326 | 12.62 | 1.4801
